index,date_of_interest,FIPS,node_key,DEATH_COUNT,DEATH_COUNT_7DAY_AVG,DEATH_DELTA,DEATH_COUNT_PREV_0,DEATH_COUNT_PREV_1,DEATH_COUNT_PREV_2,DEATH_COUNT_PREV_3,DEATH_COUNT_PREV_4,DEATH_COUNT_PREV_5
1,2020-02-29,36005,36005-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2020-02-29,36047,36047-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-02-29,36061,36061-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-02-29,36081,36081-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-02-29,36085,36085-2020-02-29,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-03-01,36005,36005-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-03-01,36047,36047-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-03-01,36061,36061-2020-03-01,0,0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,2020-03-01,36081,36081-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-03-01,36085,36085-2020-03-01,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-03-02,36005,36005-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-03-02,36047,36047-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-03-02,36061,36061-2020-03-02,0,0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,2020-03-02,36081,36081-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-03-02,36085,36085-2020-03-02,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-03-03,36005,36005-2020-03-03,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-03-03,36047,36047-2020-03-03,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-03-03,36061,36061-2020-03-03,0,0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,2020-03-03,36081,36081-2020-03-03,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-03-03,36085,36085-2020-03-03,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-03-04,36005,36005-2020-03-04,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-03-04,36047,36047-2020-03-04,0,0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-03-04,36061,36061-2020-03-04,0,0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,2020-03-04,36081,36081-2020-03-04,0,0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
